Country Code,Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Child employment in agriculture, male (% of male economically active children ages 7-14)","Child employment in manufacturing, female (% of female economically active children ages 7-14)","Child employment in manufacturing, male (% of male economically active children ages 7-14)","Child employment in services, female (% of female economically active children ages 7-14)","Child employment in services, male (% of male economically active children ages 7-14)","Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Contraceptive prevalence, any methods (% of women ages 15-49)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Female headed households (% of households with a female head),"Fertility rate, total (births per woman)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Wanted fertility rate (births per woman)
BFA,Burkina Faso,2010,121.1052,0,0,0,0,0,44.8,55.6,41.60990042,44.3783016,58.39009958,55.6216984,16.2,55.15299988,33.88199997,0.289000005,0.894999981,58.72100067,62.51300049,12.22000027,30.93499947,25.26600075,56.03499985,78.86599731,47.02899933,64.87400055,9.9,5.868,59.71799851,81.70600128,57.616,56.442,265.826,296.047,0,0,91.76999664,87.47100067,56.4195,52.51829,23.6,6.166999817,3.474999905,8.604000092,4.872000217,91.48099899,86.57500076,8.229999542,12.52900028,5.4
GMB,"Gambia, The",2015,84.687,92.75,0.08,4.48,2.63,2.77,21.24,26.19,44.04705882,42.84077892,55.95294118,57.15922108,0,15.67500019,11.96100044,1.366000056,1.800999999,35.06900024,23.51600075,23.99200058,60.85300064,52.49200058,44.56900024,63.26300049,30.36199951,40.92200089,0,5.488,51.04000092,67.90899658,62.325,59.655,234.236,289.177,0,0,83.73999786,66.90200043,62.7792,55.79977,0,12.67800045,6.84100008,17.31200028,9.194000244,82.37499714,65.10000038,16.26000023,33.09799957,0
MOZ,Mozambique,1974,159.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.729,0,0,42.719,39.547,411.045,472.602,0,0,0,0,34.67958,29.00841,0,0,0,0,0,0,0,0,0,0
MWI,Malawi,2003,155.4498,0,0,0,0,0,0,0,0,0,0,0,0,8.630000114,6.43200016,0.712000012,1.432999969,88.86599731,80.37200165,11.17099953,2.796999931,8.456000328,67.17700195,75.33899689,51.72700119,50.02700043,0,6.003,74.80000305,79.70600128,49.421,46.239,522.032,619.232,0,0,70.87000275,60.81200028,36.81443,27.98864,0,10.18999958,5.479000092,12.5369997,8.300000191,70.15700054,59.37899876,29.12999916,39.18799973,0
NER,Niger,1984,226.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,41.444,40.189,343.365,381.398,0,0,0,0,36.95395,33.74198,0,0,0,0,0,0,0,0,0,0
STP,Sao Tome and Principe,1998,117.1742,0,0,0,0,0,0,0,0,0,0,0,0,10.65100002,4.425000191,1.687000036,1.89199996,22.50699997,37.23199844,23.59600067,74.01200104,39.17100143,30.29700089,64.18499756,18.21299934,45.06600189,0,5.384,36.95000076,73.51000214,64.847,61.236,197.195,249.649,0,0,60.52899933,48.97800064,66.88798,60.05512,0,18.00600052,12.68500042,24.875,19.42700005,58.84200192,47.08699894,39.47100067,51.02199936,0
ZWE,Zimbabwe,2000,108.0906,0,0,0,0,0,0,0,0,0,0,0,0,12.87899971,10.79199982,0.294999987,0.558000028,71.33599854,53.50799942,17.82299995,24.2310009,28.66900063,63.72900009,75.12999725,47.3219986,54.76300049,0,4.055,66.81199646,80.52799988,46.701,43.016,645.381,730.605,0,0,77.82800293,49.54999924,27.49009,19.67823,0,4.614999771,6.703000069,9.982000351,13.79300022,77.53299904,48.99200058,22.17200089,50.45000076,0
ZWE,Zimbabwe,2016,105.8182,0,0,0,0,0,0,0,0,0,0,0,0,9.982999802,6.440999985,0.483999997,0.833000004,71.77100372,63.11700058,12.46500015,25.96299934,24.41799927,73.72499847,85.02400208,61.44100189,73.60299683,0,3.76,78.20899963,88.91899872,62.898,59.274,319.797,379.617,0,0,76.67700195,55.59999847,57.91942,50.37266,0,5.734000206,4.381000042,9.510000229,7.03399992,76.19399834,54.7670002,23.32299995,44.40000153,0
AGO,Angola,1967,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.613,0,0,37.379,34.292,467.705,531.653,0,0,0,0,27.92782,22.65148,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,2016,106.5448,0,0,0,0,0,0,0,0,0,0,0,25.5,56.35400009,33.04800034,0.331999987,1.006000042,20.43600082,35.40599823,31.34300041,46.92599869,33.25,52.94300079,72.24099731,39.08399963,55.75099945,0,5.353,58.36700058,75.28500366,60.992,59.598,237.615,269.051,0,0,90.76599884,85.80200195,61.24586,56.91098,0,9.293999672,4.044000149,12.80099964,5.423999786,90.43400192,84.79600143,9.234000206,14.19799995,0
COM,Comoros,1974,125.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.052,0,0,49.185,45.76,364.697,430.214,0,0,0,0,42.58404,35.53349,0,0,0,0,0,0,0,0,0,0
GMB,"Gambia, The",2014,87.431,0,0,0,0,0,0,0,0,0,0,0,0,16.45599937,12.11400032,1.554999948,1.932999969,35.3370018,23.86400032,23.66500092,60.51300049,52.47100067,44.49100113,63.55599976,30.6779995,41.4659996,0,5.544,50.95399857,68.24199677,62.064,59.428,237.157,291.785,0,0,83.8219986,66.8010025,62.34692,55.44788,0,12.68299961,6.867000103,17.18799973,9.194999695,82.26699638,64.86800194,16.1779995,33.19900131,0
KEN,Kenya,1974,177.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.905,0,0,56.62,52.489,273.381,335.929,0,0,0,0,54.57461,47.07492,0,0,0,0,0,0,0,0,0,0
MDG,Madagascar,1970,160.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,45.731,43.879,386.906,418.02,0,0,0,0,38.2697,34.91541,0,0,0,0,0,0,0,0,0,0
MWI,Malawi,2010,148.2142,0,0,0,0,0,0,0,0,0,0,0,46.1,7.979000092,5.840000153,0.69599998,1.457000017,89.32099915,80.5510025,10.19999981,3.440999985,9.248000145,67.0699997,77.48000336,55.95000076,59.31800079,28.1,5.308,73.11000061,81.77400208,59.33,55.086,336.012,444.471,0,0,68.95300293,57.8730011,55.50095,44.11273,25.6,8.26099968,5.250999928,10.01299954,7.659999847,68.25699997,56.41500092,31.04700089,42.1269989,4.5
NAM,Namibia,2001,83.454,0,0,0,0,0,0,0,0,0,0,0,0,23.39599991,13.56499958,4.775000095,7.149000168,28.98699951,34.36000061,17.46800041,63.52899933,48.17200089,38.13800049,52.73899841,14.96399975,21.17099953,0,3.926,49.60599899,64.59100342,57.098,52.479,439.227,501.457,0,0,41.65299988,29.48600006,46.41419,37.90507,0,23.11899948,18.34900093,47.11999893,36.84999847,36.87800026,22.33699989,58.34700012,70.51399994,0
NER,Niger,1996,220.2132,0,0,0,0,0,0,0,0,0,0,0,0,40.08599854,31.75600052,0.426999986,1.039000034,73.70600128,78.07499695,4.164000034,16.40999985,17.76099968,63.56900024,87.18299866,49.90200043,74.34799957,0,7.716,67.90499878,89.95300293,47.972,46.651,281.246,311.055,0,0,91.35600281,89.70400238,46.08486,42.92467,0,6.386000156,3.079999924,10.15499973,7.171000004,90.92899704,88.66400147,8.644000053,10.29599953,0
SEN,Senegal,1999,106.441,0,0,0,0,0,0,0,0,0,0,0,10.5,17.27599907,6.425000191,1.203999996,3.038000107,46.87799835,43.36800003,21.60700035,47.00699997,35.02399826,31.08699989,68.31099701,23.94899941,54.31399918,0,5.565,33.59999847,71.73400116,59.104,55.962,221.907,279.902,0,0,51.125,51.82600021,60.40355,53.08345,0,7.477000237,4.770999908,12.29199982,7.051000118,49.92099953,48.7889986,48.875,48.17399979,0
SOM,Somalia,1998,126.7162,0,0,0,0,0,0,0,0,0,0,0,0,0.805999994,1.75999999,0.479000002,1.733999968,92.375,85.53299713,7.721000195,2.568000078,6.745999813,17.51600075,72.49299622,11.8739996,46.63499832,0,7.683,18.76300049,76.86100006,51.367,48.237,331.985,390.667,0,0,88.32099915,73.11399841,46.73828,40.54964,0,6.644000053,5.683000088,11.95300007,10.87300015,87.84200311,71.38000274,11.6789999,26.88599968,0
STP,Sao Tome and Principe,1965,133.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.349,0,0,54.756,51.698,290.941,343.612,0,0,0,0,51.83456,45.96094,0,0,0,0,0,0,0,0,0,0
STP,Sao Tome and Principe,1977,136.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.504,0,0,61.159,58.623,229.799,273.962,0,0,0,0,61.51886,56.29788,0,0,0,0,0,0,0,0,0,0
SYC,Seychelles,1964,155.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.719,267.903,0,0,0,0,67.92331,57.26854,0,0,0,0,0,0,0,0,0,0
SYC,Seychelles,1971,149.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.782,259.804,0,0,0,0,73.1403,60.19995,0,0,0,0,0,0,0,0,0,0
TGO,Togo,2000,94.9228,0,0,0,0,0,0,0,0,0,0,0,25.7,28.15099907,26.07500076,0.875,1.519000053,36.27600098,45.85599899,16.21299934,43.84999847,37.93099976,79.08499908,79.25099945,68.5019989,63.38999939,0,5.41,80.35600281,81.02899933,54.291,52.668,314.44,349.469,0,0,88.78099823,75.90200043,50.51941,46.1604,0,1.582000017,2.194000006,2.157999992,3.35800004,87.90600014,74.38199997,11.21899986,24.09799957,0
TSS,Sub-Saharan Africa (IDA & IBRD countries),1978,152.3649291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.790320294,0,0,49.23469386,46.04714232,344.1434884,406.3692739,0,0,0,0,43.85786006,37.29924072,0,0,0,0,0,0,0,0,0,0
AGO,Angola,2001,194.7656,0,0,0,0,0,30.1,30,71.6,75.3,28.4,24.7,6.2,9.486000061,3.198999882,2.898000002,6.368000031,45.22700119,27.85300064,14.91300011,53.11399841,57.23400116,55.69400024,63.07099915,24.58799934,28.2689991,0,6.602,74.76000214,80.83200073,50.635,45.808,324.339,397.919,0,0,81.45999908,52.97100067,46.74496,38.34996,0,25.50300026,21.97299957,57.44900131,51.86199951,78.56199646,46.60299921,18.54000092,47.02899933,0
COD,"Congo, Dem. Rep.",2008,130.4848,0,0,0,0,0,0,0,0,0,0,0,0,27.79899979,11.3760004,2.028000116,4.999000072,84.71199799,76.00800324,15.45699978,2.934999943,8.534000397,68.12799835,71.33100128,47.28699875,39.18000031,0,6.621,71.23100281,73.56099701,57.175,54.307,267.802,317.672,0,0,58.25,60.79499817,55.44939,49.74338,0,4.355999947,3.032000065,7.849999905,6.585999966,56.22200012,55.79599857,41.75,39.20500183,0
LBR,Liberia,1995,155.8334,0,0,0,0,0,0,0,0,0,0,0,0,22.41300011,15.3920002,2.684000015,2.786000013,71.94300079,66.12999725,10.77499962,23.76600075,23.09499931,49.5699997,58.52199936,30.73800087,32.2820015,0,6.156,51.70600128,62.93099976,51.535,48.856,273.695,315.14,0,0,94.41500092,80.3769989,50.06183,44.85016,0,4.131999969,7.005000114,3.499000072,5.65500021,91.73000145,77.59100151,5.585000038,19.62299919,0
LSO,Lesotho,2014,90.1018,0,0,0,0,0,0,0,0,0,0,0,60.2,7.40500021,5.489999771,0.508000016,0.773999989,5.221000195,16.90299988,50.69100189,67.83300018,32.43299866,42.77999878,57.51100159,22.36899948,36.00299835,35.5,3.186,58.92699814,74.14299774,55.499,50.802,470.088,566.47,0,0,55.44900131,63.82899857,42.97606,32.5603,19.1,27.40099907,22.43099976,40.32099915,31.00699997,54.94099951,63.0549984,44.55099869,36.17100143,2.3
MRT,Mauritania,2008,88.584,0,0,0,0,0,0,0,0,0,0,0,0,16.5529995,7.394999981,1.934999943,4.693999767,86.01399994,74.59500122,8.512999535,10.45800018,16.89100075,26.27000046,63.88299942,19.29100037,40.42499924,0,5.059,30.26499939,70.09799957,62.976,59.919,192.4,239.6,0,0,54.50799942,48.01800156,65.8587,59.02144,0,13.19999981,8.866000175,22.48900032,15.45899963,52.57299995,43.32500029,45.49200058,51.98199844,0
MUS,Mauritius,2007,34.87,0,0,0,0,0,0,0,0,0,0,0,0,4.706999779,0.943000019,1.394999981,4.160999775,7.636000156,9.916000366,35.75500107,66.4469986,54.32899857,34.63000107,71.6289978,24.60000038,39.54299927,0,1.74,40.47499847,75.60700226,76.11,69.2,103.768,211.129,27.21999931,14.51000023,16.22800064,22.20000076,82.405,68.359,0,14.44099999,5.260000229,30.62999916,19.6779995,14.83300018,18.03900069,83.77200317,77.80000305,0
MWI,Malawi,1977,202.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,44.42,42.744,338.216,392.416,0,0,0,0,39.97408,35.23571,0,0,0,0,0,0,0,0,0,0
RWA,Rwanda,1970,74.7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.231,0,0,45.959,42.701,375.693,435.695,0,0,0,0,39.24068,33.32191,0,0,0,0,0,0,0,0,0,0
TCD,Chad,2004,204.2688,0,0,0,0,0,56.2,64.4,0,0,0,0,11.1,58.66999817,17.3920002,0.039999999,0.184,92.5019989,83.50099945,6.723999977,3.992000103,9.774999619,60.31800079,76.39499664,52.29999924,54.27700043,19.6,7.147,64.78199768,80.23699951,48.666,47.019,389.789,424.625,0,0,98.26499939,88.84600067,42.0459,38.17321,36.6,6.889999866,4.788000107,11.2670002,9.31400013,98.22499847,88.66099739,1.735000014,11.15400028,6.1
TCD,Chad,1969,204.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.477,0,0,42.235,39.522,413.561,470.236,0,0,0,0,34.36443,29.28623,0,0,0,0,0,0,0,0,0,0
ZAF,South Africa,1995,84.5712,0,0,0,0,0,0,0,0,0,0,0,0,1.45599997,0.675999999,4.690000057,9.253000259,19.77000046,17.91500092,33.33300018,66.90200043,48.7519989,34.51800156,54.7120018,18.47999954,26.91699982,0,3.11,43.2480011,64.02100372,65.039,57.688,262.637,389.195,0,0,19.64800072,18.37700081,61.45777,45.25327,0,20.18600082,14.53999996,37.54100037,27.91600037,14.95700038,9.125000358,80.35199738,81.6230011,0
ZWE,Zimbabwe,1994,110.6616,0,0,0,0,0,0,0,0,0,0,0,48.1,20.52599907,16.40399933,0.179000005,0.513999999,70.91100311,52.23400116,19.84799957,23.42499924,27.91900063,65.59799957,75.63899994,49.23899841,50.70999908,32.7,4.555,67.60299683,81.07499695,55.386,49.489,465.333,594.482,0,0,81.79599762,46.98099899,43.38421,31.19765,19.7,2.96600008,6.704999924,6.848999977,15.21899986,81.61699867,46.46699905,18.20400047,53.01900101,3.5
AGO,Angola,1994,208.8,0,0,0,0,0,0,0,0,0,0,0,0,12.51099968,4.144000053,3.345000029,4.611000061,51.83200073,32.55400085,14.79800034,46.32500076,52.64899826,55.66400147,63.53300095,25.09700012,28.81100082,0,6.992,74.69100189,81.54499817,44.948,40.462,381.283,456.052,0,0,82.32700348,54.27999878,38.52954,30.92915,0,25.47400093,22.08799934,57.14799881,51.86399841,78.9829998,49.66900158,17.67300034,45.72000122,0
BDI,Burundi,1967,47.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.245,0,0,44.917,41.721,385.185,445.628,0,0,0,0,37.99503,32.14509,0,0,0,0,0,0,0,0,0,0
BEN,Benin,1982,112.055,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.021,0,0,50.932,45.359,298.352,402.938,0,0,0,0,47.7054,37.24014,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,2016,133.386,0,0,0,0,0,0,0,0,0,0,0,15.5,21.87000084,8.961999893,1.13499999,2.565000057,41.06299973,54.24200058,8.085000038,55.23500061,37.67300034,46.44300079,64.90599823,29.42300034,38.55799866,0,4.911,48.0530014,66.28399658,55.141,52.144,370.711,411.019,25.10000038,13.57999992,86.63800049,67.60399628,47.37468,42.7132,0,3.349999905,2.078999996,4.96600008,2.747999907,85.50300026,65.03899956,13.36200047,32.39599991,0
ETH,Ethiopia,2004,96.5532,0,0,0,0,0,0,0,0,0,0,0,0,71.22499847,36.48400116,0.263999999,0.98299998,77.13400269,85.45700073,4.453000069,15.35999966,10.09000015,70.23000336,87.92500305,66.47799683,78.91400147,0,5.867,77.375,90.77400208,56.559,53.83,334.037,373.691,0,0,93.62999725,90.85199738,52.27385,47.0669,0,9.234000206,3.138999939,12.43099976,4.760000229,93.36699867,89.86899948,6.369999886,9.147999763,0
GAB,Gabon,1962,184.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.541,0,0,41.991,38.834,417.585,479.529,0,0,0,0,33.86102,28.21349,0,0,0,0,0,0,0,0,0,0
KEN,Kenya,1962,182.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.042,0,0,49.742,45.662,335.38,401.857,0,0,0,0,45.03879,37.70151,0,0,0,0,0,0,0,0,0,0
MDG,Madagascar,1962,155.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.303,0,0,41.912,40.01,425.193,461.25,0,0,0,0,33.28082,29.85543,0,0,0,0,0,0,0,0,0,0
MUS,Mauritius,2016,26.9298,0,0,0,0,0,0,0,0,0,0,0,0,4.367000103,0.870999992,1.593999982,6.15500021,6.038000107,7.899000168,31.86300087,77.1780014,60.23799896,40.11600113,69.70600128,26.18600082,40.20899963,0,1.4,45.19200134,73.21299744,77.76,71.19,92.725,190.179,31.51000023,21.79999924,15.22900009,23.84000015,84.89455,71.91352,0,11.23200035,4.789000034,30.87800026,18.03000069,13.63499975,17.68399972,84.77100372,76.16000366,0
SEN,Senegal,1992,124.62,0,0,0,0,0,0,0,0,0,0,0,0,20.21899986,7.30700016,1.475999951,3.369999886,49.06399918,45.05599976,20.2689991,45.06600189,34.67499924,30.83200073,70.82700348,25.83200073,58.38800049,0,6.322,33.35300064,74.38899994,59.14,55.951,216.076,276.394,0,0,53.09199905,53.49900055,60.42913,52.95024,0,7.55700016,4.788000107,12.15999985,7.052000046,51.61700058,50.13000202,46.90800095,46.50099945,0
SSA,Sub-Saharan Africa (excluding high income),2005,121.2676984,0,0,0,0,0,0,0,0,0,0,0,0,29.06379907,15.32748833,1.574972801,3.050809671,64.74465481,62.2544324,11.83516363,27.56784762,25.91061032,55.95308285,70.0457219,41.75278705,47.77090748,0,5.522833394,61.5420573,74.88157575,54.45995381,51.77700403,354.3949278,405.113829,0,0,82.24465696,72.03277198,49.01340718,43.00328739,0,9.081612695,6.457759851,17.17136445,13.04256487,80.66963558,68.98210103,17.75534313,27.96721359,0
SSF,Sub-Saharan Africa,2005,121.2625877,0,0,0,0,0,0,0,0,0,0,0,0,29.06379907,15.32748833,1.574972801,3.050809671,64.74465481,62.2544324,11.83516363,27.56784762,25.91061032,55.95308285,70.0457219,41.75278705,47.77090748,0,5.522387723,61.5420573,74.88157575,54.46239267,51.77870065,354.3607315,405.0925354,0,0,82.24465696,72.03277198,49.01817683,43.00617075,0,9.081612695,6.457759851,17.17136445,13.04256487,80.66963558,68.98210103,17.75534313,27.96721359,0
ZWE,Zimbabwe,2014,109.2926,0,0,0,0,0,0,0,0,0,0,0,66.9,10.08500004,6.763000011,0.451999992,0.805999994,71.64900208,62.86500168,12.47500038,26.13800049,24.65999985,73.47200012,84.83200073,61.66699982,73.8259964,0,3.903,78.01000214,88.80500031,60.911,57.657,359.189,413.96,64.8199997,47.40999985,77.125,56.16799927,54.07413,47.21633,0,5.81799984,4.473999977,9.527000427,7.126999855,76.67299748,55.36099958,22.875,43.83200073,0
SLE,Sierra Leone,1975,207.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.611,0,0,38.616,38.376,473.827,450.859,0,0,0,0,28.50003,28.83834,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,1969,173.2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.593,0,0,39.824,37.547,413.392,488.707,0,0,0,0,32.43428,26.72321,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,2001,127.7318,0,0,0,0,0,0,0,0,0,0,0,0,1.552999973,2.430999994,0.660000026,2.191999912,91.5059967,81.89399719,8.434000015,3.507999897,9.671999931,59.83100128,74.52100372,43.51699829,47.1780014,0,5.48,64.18599701,79.04199982,44.99,42.537,534.244,548.418,0,0,83.58599854,67.54699707,31.66575,28.50915,0,6.78399992,5.721000195,11.97799969,10.87300015,82.92500162,65.35499978,16.41399956,32.45299912,0
COD,"Congo, Dem. Rep.",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04599953,8.835000038,2.295000076,5.350999832,86.91999817,77.03500366,12.91600037,3.805999994,10.04899979,68.29000092,71.23600006,47.72900009,39.9640007,0,0,71.3690033,73.4980011,0,0,0,0,0,0,57.32699966,57.2859993,0,0,0,4.31400013,3.078000069,7.90199995,6.603000164,55.03199959,51.93600178,42.67300034,42.7140007,0
DJI,Djibouti,1984,51.6464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.378,0,0,56.728,53.664,273.731,325.927,0,0,0,0,54.5107,48.5198,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,1970,183.3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.225,0,0,37.841,35.503,442.761,503.438,0,0,0,0,29.45462,24.57374,0,0,0,0,0,0,0,0,0,0
LSO,Lesotho,2015,89.9072,0,0,0,0,0,0,0,0,0,0,0,0,7.166999817,5.339000225,0.523000002,0.790000021,4.916999817,16.10499954,51.31299973,69.10299683,32.61199951,41.64400101,55.72999954,21.18300057,33.86700058,0,3.143,59.09400177,74.03299713,55.981,51.274,466.443,560.508,0,0,55.48099899,63.39500046,43.46593,33.16464,0,29.52799988,24.72299957,43.09799957,34.29999924,54.95700073,62.60499907,44.51900101,36.60499954,0
MUS,Mauritius,1962,108.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.124,0,0,62.5,58.843,233.364,305.061,0,0,0,0,61.06346,51.27321,0,0,0,0,0,0,0,0,0,0
NAM,Namibia,1969,135.2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401,0,0,54.022,49.751,315.747,390.896,0,0,0,0,49.6027,40.82434,0,0,0,0,0,0,0,0,0,0
NGA,Nigeria,2016,109.274,0,0,0,0,0,0,0,0,0,0,0,20.4,9.871999741,8.331999779,0.768999994,1.587000012,26.08799934,44.89599991,11.46899986,61.63499832,43.63399887,47.14500046,55.3199997,17.86100006,22.89800072,0,5.526,50.32600021,59.91799927,54.222,52.66,333.034,371.147,0,0,87.76399994,76.21700287,49.47592,45.19302,0,6.321000099,7.673999786,14.89400005,11.62699986,86.99500084,74.63100338,12.23600006,23.78300095,0
SDN,Sudan,1964,149.2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.787,0,0,51.319,48.439,323.276,376.749,0,0,0,0,46.87182,41.23324,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,1972,185.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.299,0,0,41.534,39.625,400.147,455.139,0,0,0,0,34.49165,29.81066,0,0,0,0,0,0,0,0,0,0
TZA,Tanzania,1968,156.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.785,0,0,47.682,44.316,356.71,416.891,0,0,0,0,41.86748,35.70832,0,0,0,0,0,0,0,0,0,0
UGA,Uganda,2007,149.93,0,0,0,0,0,0,0,0,0,0,0,0,27.96500015,17.6060009,2.38499999,3.845000029,79.46600342,69.36100006,8.557999611,17.04299927,22.08099937,62.94400024,74.1969986,49.86399841,55.86500168,0,6.424,65.33000183,76.08599854,56.259,52.984,368.163,429.089,0,0,85.34100342,75.78500366,49.78354,43.04011,0,3.653000116,2.48300004,5.061999798,4.041999817,82.95700073,71.93900108,14.6590004,24.21500015,0
BDI,Burundi,2011,30.586,0,0,0,0,0,0,0,0,0,0,0,0,12.12300015,3.655999899,0.418000013,1.136000037,96.3769989,85.97499847,4.348999977,2.844000101,9.675999641,79.22100067,76.2460022,59.77099991,49.22200012,0,6.156,80.11199951,77.81400299,57.208,53.511,284.633,341.726,0,0,97.05599976,89.03800201,54.95781,47.94515,0,1.111999989,2.016000032,1.809000015,4.035999775,96.63799954,87.9020021,2.944000006,10.96199989,0
BFA,Burkina Faso,2007,129.651,0,0,0,0,0,0,0,0,0,0,0,0,57.06000137,33.37099838,0.323000014,0.920000017,77.18499756,74.21700287,7.995999813,17.28499985,17.78700066,58.6780014,82.77400208,53.20399857,70.63999939,0,6.116,60.84899902,85.41799927,55.442,54.102,278.907,310.275,0,0,91.39199829,87.2440033,53.64379,49.75408,0,3.568000078,3.095000029,5.301000118,4.520999908,91.0699997,86.32499695,8.607999802,12.75599957,0
