Country Code,Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Child employment in agriculture, male (% of male economically active children ages 7-14)","Child employment in manufacturing, female (% of female economically active children ages 7-14)","Child employment in manufacturing, male (% of male economically active children ages 7-14)","Child employment in services, female (% of female economically active children ages 7-14)","Child employment in services, male (% of male economically active children ages 7-14)","Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Contraceptive prevalence, any methods (% of women ages 15-49)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Female headed households (% of households with a female head),"Fertility rate, total (births per woman)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Wanted fertility rate (births per woman)
MWI,Malawi,1987,193.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.291,0,0,47.88,44.671,323.205,420.223,0,0,0,0,44.01988,35.85076,0,0,0,0,0,0,0,0,0,0
NGA,Nigeria,1976,171.2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.735,0,0,44.961,42.383,381.56,437.711,0,0,0,0,38.31697,32.79407,0,0,0,0,0,0,0,0,0,0
SDN,Sudan,2002,120.013,0,0,0,0,0,0,0,0,0,0,0,0,30.65299988,11.50500011,1.807000041,4.837999821,48.99900055,60.72100067,15.98600006,15.88399983,23.29700089,19.30999947,67.43199921,12.56200028,35.36700058,0,5.334,25.72400093,74.3809967,61.091,57.354,241.735,313.625,0,0,52.95500183,50.80699921,60.89653,52.81066,0,24.93300057,9.342000008,42.47900009,21.1590004,51.14800072,45.96900082,47.04499817,49.19300079,0
SOM,Somalia,1978,53.5876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,45.588,42.504,379.273,438.109,0,0,0,0,38.76729,33.0661,0,0,0,0,0,0,0,0,0,0
SSF,Sub-Saharan Africa,2013,107.2964993,0,0,0,0,0,0,0,0,0,0,0,0,30.92914589,16.39482351,1.580558078,3.17374437,58.40358048,58.60620104,12.81953081,33.01609628,28.5746359,57.75190708,69.86137398,40.91187767,46.69334259,0,5.055572672,62.61802464,74.11840456,60.51089937,57.27642439,272.6591301,330.5725,0,0,79.74414568,69.04977404,58.8537799,51.70704431,0,7.771110214,5.74385546,15.29817779,11.71798109,78.16372625,65.87599953,20.25585398,30.95022528,4.572814183
SYC,Seychelles,1984,77.5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,65.7,122.86,254,0,0,0,0,80.50774,63.55808,0,0,0,0,0,0,0,0,0,0
TGO,Togo,2008,92.5394,0,0,0,0,0,0,0,0,0,0,0,0,19.82900047,22.81599999,0.734000027,1.422000051,38.06900024,47.10200119,16.20700073,42.02899933,36.68999863,77.6989975,78.90100098,65.70800018,62.11299896,0,5.001,78.93699646,80.63800049,56.84,55.493,302.372,335.123,0,0,89.9449997,76.12599945,53.60613,49.48998,0,1.569000006,2.154000044,2.176000118,3.357000113,89.21100426,74.70400047,10.05500031,23.87400055,0
ZWE,Zimbabwe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0340004,6.43599987,0.448000014,0.797999978,72.88600159,64.05999756,12.4119997,24.74900055,23.52899933,74.0699997,85.23799896,61.68399811,73.8239975,0,0,78.54199982,89.11399841,0,0,0,0,0,0,76.23400116,55.62900162,0,0,0,5.693999767,4.349999905,9.517000198,7.027999878,75.7859993,54.83199978,23.76600075,44.37099838,0
BDI,Burundi,2002,36.305,0,0,0,0,0,0,0,0,0,0,0,19.7,10.26200008,3.680000067,0.395999998,1.074000001,96.70700073,86.8789978,3.977999926,2.588999987,9.142000198,82.3690033,79.83499908,68.22299957,60.95399857,0,6.887,83.34999847,81.68699646,53.668,50.281,329.966,382.446,0,0,97.61299896,90.09400177,49.16459,42.77653,0,1.177000046,2.26699996,1.853999972,4.156000137,97.21700192,89.02100349,2.387000084,9.906000137,0
GNB,Guinea-Bissau,1961,108.2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.931,0,0,39.727,36.635,435.596,499.665,0,0,0,0,31.44574,25.68882,0,0,0,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,1981,176.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.856,0,0,46.064,42.865,371.498,430.547,0,0,0,0,39.86859,34.00465,0,0,0,0,0,0,0,0,0,0
MRT,Mauritania,1975,117.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.676,0,0,52.796,50.125,283.001,341.771,0,0,0,0,50.74138,44.26841,0,0,0,0,0,0,0,0,0,0
NER,Niger,2003,214.3628,0,0,0,0,0,0,0,0,0,0,0,0,26.07900047,25.64900017,0.347000003,0.920000017,74.99199677,79.70500183,4.131000042,15.00699997,16.16399956,66.54599762,88.29499817,55.32500076,76.81199646,0,7.642,67.79799652,90.67099762,52.369,51.178,273.934,299.912,0,0,92.6989975,90.11799622,50.81732,47.74073,0,1.847000003,2.619999886,2.759000063,5.785999775,92.3520031,89.19799995,7.301000118,9.881999969,0
STP,Sao Tome and Principe,1971,136.3408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,57.776,55.232,262.301,307.912,0,0,0,0,56.31813,51.19151,0,0,0,0,0,0,0,0,0,0
SYC,Seychelles,1995,61.9842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,65.8,110.681,276.97,0,0,0,0,82.77257,60.65556,0,0,0,0,0,0,0,0,0,0
TGO,Togo,1970,145.2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.084,0,0,47.938,45.199,334.574,395.871,0,0,0,0,43.49288,37.20851,0,0,0,0,0,0,0,0,0,0
ZWE,Zimbabwe,1984,120.717,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.435,0,0,63.19,58.783,229.517,309.91,0,0,0,0,62.93234,53.85363,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,1979,164.1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,46.257,43.829,328.887,394.566,0,0,0,0,42.2388,36.21443,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,1995,76.641,0,0,0,0,0,0,0,0,0,0,0,0,9.473999977,14.62199974,8.112000465,6.249000072,10.86699963,19.53000069,29.11199951,69.64499664,51.35800171,37.22200012,60.24300003,22.50799942,32.46500015,0,3.951,48.75400162,75.14900208,58.207,52.834,382.307,500.589,0,0,40.31800079,44.09999847,50.48511,37.98747,0,23.65500069,19.83499908,42.52999878,35.26900101,32.20600033,37.85000038,59.68199921,55.90000153,0
CAF,Central African Republic,1972,175.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.953,0,0,45.461,41.649,377.327,444.728,0,0,0,0,39.0363,32.25273,0,0,0,0,0,0,0,0,0,0
COD,"Congo, Dem. Rep.",1969,168.4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.187,0,0,44.94,42.107,385.67,441.956,0,0,0,0,37.94292,32.59827,0,0,0,0,0,0,0,0,0,0
COD,"Congo, Dem. Rep.",2000,125.4476,0,0,0,0,0,39.8,39.9,58.5,70.4,41.5,29.6,0,30.06900024,11.80900002,3.394999981,6.375,89.0059967,80.21399689,11.29899979,2.75999999,8.486000061,68.20300293,71.0490036,46.5909996,37.85100174,0,6.751,71.22899628,73.26599884,51.478,48.598,317.698,370.806,0,0,63.15000153,63.17300034,47.72483,42.07751,0,4.249000072,3.02699995,7.630000114,6.583000183,59.75500107,56.79699898,36.84999847,36.82699966,0
COM,Comoros,1999,96.2426,0,0,0,0,0,0,0,0,0,0,0,0,17.50099945,10.59500027,4.005000114,4.903999805,65.6289978,53.22399902,16.62100029,20.90699959,30.15500069,30.5340004,50.31000137,15.51900005,17.48900032,0,5.466,32.10800171,52.68399811,60.975,57.833,246.08,298.044,0,0,85.66300201,64.09200287,59.82642,52.83408,0,4.903999805,4.506999969,8.576000214,11.27999973,81.65799713,59.18799877,14.33699989,35.90800095,0
KEN,Kenya,1972,180.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.012,0,0,55.539,51.343,282.823,346.87,0,0,0,0,53.09022,45.48182,0,0,0,0,0,0,0,0,0,0
MOZ,Mozambique,2014,146.3458,0,0,0,0,0,0,0,0,0,0,0,0,54.12099838,10.71399975,1.121999979,6.475999832,85.18299866,61.31399918,8.979000092,14.44799995,29.70599937,60.39599991,57.74499893,43.18500137,37.31299973,0,5.365,82.88700104,75.0530014,59.143,54.948,308.892,380.368,0,0,96.1989975,80.53199768,55.45399,47.18803,0,27.13400078,23.06100082,42.42100143,44.0870018,95.07699966,74.0559988,3.801000118,19.46800041,0
MUS,Mauritius,1992,42.571,0,0,0,0,0,0,0,0,0,0,0,0,3.838000059,1.452000022,8.923000336,16.16300011,13.50699997,16.70499992,39.50099945,41.61700058,43.79399872,33.20399857,74.87799835,27.48399925,54.54000092,0,2.37,38.70999908,81.45899963,73.9,66.4,130.081,260.25,0,0,21.5909996,33.49000168,78.43295,61.30642,0,14.22299957,8.078000069,27.57799912,20.95899963,12.66799998,17.32700002,78.40899658,66.51000214,0
NAM,Namibia,1992,103.447,0,0,0,0,0,0,0,0,0,0,0,28.9,35.60200119,16.41600037,0.358999997,1.156000018,48.52600098,42.87400055,20.91900063,43.27999878,36.20600128,38.52000046,53.64599991,20.71500015,27.33200073,30.8,4.97,49.17599869,64.57700348,64.587,58.444,224.2,313.466,0,0,55.11399841,34.68099976,65.01624,52.81644,21.5,21.67000008,16.92700005,41.26399994,32.18000031,54.75400162,33.52499962,44.88600159,65.31900024,4.8
NAM,Namibia,2004,80.9424,0,0,0,0,0,0,0,0,0,0,0,0,5.777999878,3.256000042,4.287000179,6.670000076,25.3029995,33.77299881,19.27099991,65.31900024,46.95600128,38.64199829,51.80099869,14.27099991,20.30900002,0,3.714,51.42399979,64.49199677,55.29,51.621,471.801,521.871,0,0,32.08200073,23.7329998,43.90489,36.65611,0,24.85700035,19.6779995,49.4109993,38.55699921,27.79500008,17.0630002,67.91799927,76.26699829,0
